a9	3 x 3
12	3 x 4
18	3 x 6
21	3 x 7
24	3 x 8
27	3 x 9
12	4 x 3
16	4 x 4
24	4 x 6
28	4 x 7
32	4 x 8
36	4 x 9
30	3 x 10
33	3 x 11
40	4 x 10
44	4 x 11
18	6 x 3
24	6 x 4
36	6 x 6
42	6 x 7
48	6 x 8
54	6 x 9
60	6 x 10
66	6 x 11
21	7 x 3
28	7 x 4
42	7 x 6
49	7 x 7
56	7 x 8
63	7 x 9
70	7 x 10
24	8 x 3
32	8 x 4
48	8 x 6
56	8 x 7
64	8 x 8
72	8 x 9
80	8 x 10
88	8 x 11
27	9 x 3
36	9 x 4
54	9 x 6
63	9 x 7
72	9 x 8
81	9 x 9
90	9 x 10
99	9 x 11
100 10 x 10
110	10 x 11

